location,online_order,book_table,count
Magadi Road,Yes,No,18
Majestic,No,No,132
Majestic,No,Yes,2
Majestic,Yes,No,21
Malleshwaram,No,No,267
Malleshwaram,No,Yes,43
Malleshwaram,Yes,No,369
Malleshwaram,Yes,Yes,46
Marathahalli,No,No,656
Marathahalli,No,Yes,78
Marathahalli,Yes,No,1024
Marathahalli,Yes,Yes,88
Mysore Road,No,No,12
Mysore Road,Yes,No,10
Nagarbhavi,No,No,7
Nagarbhavi,Yes,No,2
Nagawara,No,No,25
Nagawara,Yes,No,151
Nagawara,Yes,Yes,11
New BEL Road,No,No,238
New BEL Road,No,Yes,19
New BEL Road,Yes,No,355
New BEL Road,Yes,Yes,37
North Bangalore,No,No,9
North Bangalore,Yes,No,5
Old Airport Road,No,No,186
Old Airport Road,No,Yes,44
Old Airport Road,Yes,No,201
Old Airport Road,Yes,Yes,15
Old Madras Road,No,No,5
Old Madras Road,Yes,No,17
Peenya,No,No,1
RT Nagar,No,No,25
RT Nagar,Yes,No,54
RT Nagar,Yes,Yes,1
Race Course Road,No,No,52
Race Course Road,No,Yes,41
Race Course Road,Yes,No,45
Race Course Road,Yes,Yes,1
Rajajinagar,No,No,265
Rajajinagar,No,Yes,21
Rajajinagar,Yes,No,285
Rajajinagar,Yes,Yes,20
Rajarajeshwari Nagar,Yes,No,2
Rammurthy Nagar,No,No,5
Rammurthy Nagar,Yes,No,27
Residency Road,No,No,307
Residency Road,No,Yes,120
Residency Road,Yes,No,217
Residency Road,Yes,Yes,31
Richmond Road,No,No,506
Richmond Road,No,Yes,59
Richmond Road,Yes,No,190
Richmond Road,Yes,Yes,57
Sadashiv Nagar,No,No,27
Sadashiv Nagar,No,Yes,11
Sadashiv Nagar,Yes,No,18
Sadashiv Nagar,Yes,Yes,7
Sahakara Nagar,No,No,15
Sahakara Nagar,Yes,No,35
Sahakara Nagar,Yes,Yes,3
Sanjay Nagar,No,No,39
Sanjay Nagar,Yes,No,37
Sankey Road,No,No,16
Sankey Road,No,Yes,11
Sarjapur Road,No,No,283
Sarjapur Road,No,Yes,53
Sarjapur Road,Yes,No,626
Sarjapur Road,Yes,Yes,103
Seshadripuram,No,No,81
Seshadripuram,No,Yes,9
Seshadripuram,Yes,No,73
Seshadripuram,Yes,Yes,2
Shanti Nagar,No,No,258
Shanti Nagar,No,Yes,31
Shanti Nagar,Yes,No,195
Shanti Nagar,Yes,Yes,27
Shivajinagar,No,No,354
Shivajinagar,Yes,No,122
Shivajinagar,Yes,Yes,23
South Bangalore,No,No,36
South Bangalore,Yes,No,71
St. Marks Road,No,No,149
St. Marks Road,No,Yes,36
St. Marks Road,Yes,No,79
St. Marks Road,Yes,Yes,88
Thippasandra,No,No,111
Thippasandra,Yes,No,83
Ulsoor,No,No,272
Ulsoor,No,Yes,123
Ulsoor,Yes,No,574
Ulsoor,Yes,Yes,54
Uttarahalli,No,No,7
Uttarahalli,Yes,No,10
"Varthur Main Road, Whitefield",No,No,20
"Varthur Main Road, Whitefield",Yes,No,97
Vasanth Nagar,No,No,131
Vasanth Nagar,No,Yes,17
Vasanth Nagar,Yes,No,147
Vijay Nagar,No,No,26
Vijay Nagar,Yes,No,54
West Bangalore,No,No,4
West Bangalore,Yes,No,2
Whitefield,No,No,902
Whitefield,No,Yes,103
Whitefield,Yes,No,989
Whitefield,Yes,Yes,150
Wilson Garden,No,No,107
Wilson Garden,No,Yes,5
Wilson Garden,Yes,No,134
Yelahanka,No,No,1
Yelahanka,Yes,No,5
Yeshwantpur,No,No,26
Yeshwantpur,Yes,No,91
Yeshwantpur,Yes,Yes,2
