name,votes,rate
Absolute Waffles,147,3.9
Aburrahaman,0,
Abzain Paradise,84,2.9
AcciaRolee,0,
Achayyan's,1630,3.8
Ackley Kitchen,33,3.6
Adarsh Bakery,20,3.1
Adda,40,3.3
Addhuri Udupi Bhojana,176,3.7
Adi's Cake N Cafe,8,3.3
Adiga Sweets,0,
Adiga's,111,3.5
Adithya,2172,3.5421052631578944
Adithya Family Restaurant,270,3.7
Adithya Tiffin Centre,0,
Adithya Veg,20,3.3
Aditya Delights,118,3.7
Aditya Sweets,114,3.7
Aditya Uphar,30,3.5
Adukkala Restaurant,497,3.125
Adupadi,25,2.9
Advika Briyani Center,18,3.3
Adya Hotel,8,3.3
Adyar Anand Bhavan Sweets,0,
Adyar Ananda Bhavan - Sweets,39,3.4
Adyar Ananda Bhavan Sweets,4,3.6
Affa Cafeteria,0,
Affan Kabab Centre,0,
Afghani Tandoori Hub,154,3.6818181818181817
Afoozoo - Ginger Hotel,120,3.5
Afrina's Kitchen,27,3.4
Agarwal Food Service,1131,3.65
Agent Jack's Bar,4496,4.022222222222222
Agnihotri Cuisines,0,
Agraharaa,0,
Agraharam Meal,61,3.7
Aha Juice Bar,78,3.6
Ahaan Restaurant,230,2.7999999999999994
AhimsaAmrit Green Cafe,56,3.55
Ahmad's Chicken Hut,36,3.2
Ahmed Biriyani Corner,0,
Ahmed's,0,
Ahmed's Little Hut,0,
Ahmeds Takeaway Restaurant,0,
Aioli,3138,4.2
Airlines Hotel,8694,4.0
Aisha Tharavad,0,
Aishwarya,6,3.3
Aishwarya Bar and Restaurant,0,
Aishwarya Parkland,236,2.9
Aishwarya Sweets,48,3.6
Aishwarya Uphar,0,
Ajantha Hotel,0,
Ajwa Thalassery Biryani,215,3.9
Akash Gowdru Biryani Center,0,
Akkad Bakkad,144,3.9
Akshara,628,3.9333333333333336
Akshatha Nati Style,20,3.7
Akshay Biryani Paradise,0,
Akshaya Bar And Restaurant,0,
Akshaya Deluxe,673,4.0
Akshaya Donne Biriyani,154,3.05
Akshaya Family Restaurant,8,3.2
Akshaya Grand,290,3.4
Akshaya Sambrama Veg Restaurant,132,3.2
Akshaya Spice,0,
Akshaya Sweets & Chats,0,
Akss - India Reimagined,258,4.2
Al Amal Cafe,446,4.0
Al Amanah Cafe,7181,4.4
Al Ameen Rolls Corner,32,3.7
Al Aziz Durbar,0,
Al Baith,0,
Al Barack Cafetaria,40,3.6
Al Daaz,2323,4.2
Al Diwan Biryanis And More,36,3.266666666666667
Al Ghani Resetaurant,4,3.3
Al Habibi Restaurant,204,3.5
Al Hayath,198,3.5
Al Hayath Ambur Biryani,36,3.3
Al Kabab Corner,0,
Al Karim,360,3.7
Al Khaleej Snacks Corner,0,
Al Khansah,1858,3.9
Al Khwaja,52,3.0
Al Madhina Roll House,24,3.4
Al Madina Family Restaurant,0,
Al Madina Roll House,64,3.6
Al Manar,0,
Al Noor,131,3.766666666666667
Al Sadique,370,3.9
Al Sadique Restaurant,250,3.475
Al Swaad Take Away,128,3.1
Al Taj Fast Food,8,3.2
Al Zaiqa Hotel,56,3.425
Al-Arabi Restaurant,0,
Al-Badia Restaurant,185,4.2
Al-Baik Kabab Centre,0,
Al-Baik Kabab Corner,50,3.2
Al-Baik Tandoori Restaurant,682,3.6166666666666667
Al-Bek,6709,3.8421052631578947
Al-Falah Restaurant,0,
Al-Hind Sagar Kathi Rolls,0,
Al-Hyatt,0,
Al-Madina,32,3.3
Al-Madina Restaurant,97,3.45
Al-Marhaba Restaurant,0,
Al-Noor Restaurant,0,
Al-Safaa Chinese Fast Food,0,
Al-Shadab Cafe,0,
Al-Sidique,314,4.0
Al-Taj Restaurant,38,3.3499999999999996
Alampur Bar And Restaurant,430,3.7
Alankar Restaurant,0,
Alankrutha,2845,3.8545454545454545
Alba - JW Marriott Bengaluru,2293,4.425000000000001
Albert Bakery,346,4.3
Alchemy - The Chancery Pavilion,7067,4.3
Alchemy Coffee Roasters,4294,4.2
Alechemy,0,
Alfa Family Restaurant,173,3.0
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,462,3.7000000000000006
Ali Bhai- Rolls and Kebabs,0,
Ali Snacks Point,20,3.4
Alibaba Cafe and Restaurant,2473,3.4555555555555553
Alibi - Maya International Hotel,1123,1.8
AlienSip,88,3.6
Alif Hotel,0,
Alif Restaurant,107,3.6
Aligarh House,1091,4.4
Alikemom,0,
Aliyar Cafe Sweet Palace,0,
All Aromas,18,3.65
All In One Desi Khana,0,
All Saints Bakery,230,3.6
All Seasons Restaurants,0,
All Shook Up,104,3.6666666666666665
All Shook Up!,577,3.8333333333333335
Allahabadi Tadaka,186,2.925
Allana Kabab,68,3.3
Alloro - The Oterra,63,4.0
Alpha - House of Biryani & Tandoor,1564,3.4
Altaf's Chillies Restaurant,1159,3.8199999999999994
Altaj Restaurant,26,3.3499999999999996
Alter Ego D'Deli,841,3.7999999999999994
Alto Vino - Bengaluru Marriott Hotel Whitefield,530,4.3
Am On Restaurant Family Dine,0,
Amadora Gourmet Ice Cream & Sorbet,0,
Aman Chaat's And Fast Food Corner,0,
Amande Patisserie,2914,4.1375
Amanthrana Gardenia,561,3.8600000000000003
Amantrana,15,3.2
Amar Kolkata,20,3.2
Amara Food Point,4,3.3
Amaravathi Andhra Mess,0,
Amaravathi Andhra Style Family Restaurant,0,
Amaravathi Bar & Restaurant,129,3.7000000000000006
Amaravathi Biryani Zone,0,
Amaravathi Mess,216,3.6
