name,votes,rate
Chin Lung Resto Bar,5739,3.9538461538461536
Chin Lung Resto-Bar,614,4.0
China Bistro & Lounge,245,4.4
China Bowl,6388,3.9
China Down Town,75,3.5
China Garden,50,3.6
China Hut,112,3.8
China On My Plate,183,2.888888888888889
China Pearl,21020,4.319999999999999
China South,24,3.4
China Tang,328,3.7
China Town 07,0,
ChinaMinaMo,0,
Chination,26,3.5500000000000003
Chinese Chaska,504,3.1
Chinese Corner,59,3.033333333333333
Chinese Corner and Bengali Mess,56,3.5
Chinese Fire Dragon,150,3.4
Chinese Food Point,0,
Chinese House,153,2.8125
Chinese Kitchen,291,3.8
Chinese Square,240,3.9
Chinese Street,390,3.1
Chinita Real Mexican Food,7065,4.485714285714286
Chinmayee's,166,3.1
Chinnu's Mane Biryani,41,3.5
Chintu Chit Chat Centre,53,3.5666666666666664
Chirayu Biryani House,0,
Chit Chat Cafe,0,
Chitu's Kitchen,42,3.5
Chivi's Meilleurs Boulangers,36,3.4
Chocalot,0,
Choco Allure,20,3.4
Choco Cheese,63,4.4
Choco Fudge,0,
Choco Monk,0,
Choco Nut Cafe,38,3.2
Chocoberry,393,3.5142857142857147
Chocolat Boulangerie Patisserie,3115,4.1
Chocolate Bomb,0,
Chocolate D'Luxe,734,4.1
Chocolate Junction,232,3.8
Chocolate Philosophy,0,
Choconut,0,
Choconut Cafe,12,3.4
Chocs Cafe,46,3.6
Choi Choi Momos,152,3.8600000000000003
Choice Bakery,0,
Choice of Food,0,
Chokha Chowka,3217,3.888888888888889
Chokha Zaika,0,
Choo Zi,0,
ChopServe,10,3.5
Chopserve,76,3.7
Chopstick Kitchen,71,3.4
Chopstick World,356,4.0
Chord Road Resto-Bar,194,3.2
Chorum Curryum,0,
Chote Miya,32,3.6
Chow San,610,3.02
ChowChow Pandas,0,
Chowk Tea Stall,44,3.4
Chowmein,2533,3.933333333333333
Chowmein Kitchen,0,
Chowpatty,4751,3.68
Christy's Chicken Biryani,0,
Chriz Cafe,22,3.5
Chubalas Curry And Rice,1047,4.0
Chugg,9724,3.9384615384615387
Chulha Chauki Da Dhaba,27267,4.1812499999999995
Chullah Bhatti,1679,4.0
Chullah Chandigarh,638,4.2
Chumma Delicious,1185,3.7
Chun Li,0,
Chung Shan Chinese Restaurant,448,3.7
Chung Wah,15852,3.748
Chung Wah Express,762,2.8
Chung Wah Opus,458,3.0
Chung's Chinese Corner,7387,3.35
Chungs Pavilion,992,3.9
Church Street Social,83179,4.3
Churchill's,12648,4.1
Churn,174,4.2
Churrascaria Brazil,336,4.1
Chutney Chang,89910,4.165217391304347
Chutneys Tiffin Center,0,
Ciclo Cafe,13025,4.3
Ciclo Life,0,
Cilantro,5903,4.0
Cinnabon,80,4.0
Cinnamon,4190,3.8285714285714287
Cinnamon - Grills and Gourmet,20,3.6
"Cinnamon - Renaissance Hotel, Bengaluru",472,4.3
Cinnamon's Kitchen,75,3.7000000000000006
Cirkus,993,4.3
Cita Pani,326,3.8833333333333333
Citrus - The Leela Palace,2373,4.2
Citrus Cafe - Lemon Tree Hotel,924,3.84
Citrus Cafe - Lemon Tree Premier,1464,3.9
City Cafe,8,3.3
City Durbar,719,3.7
City Kebab Centre,0,
Classic Biryani Hut,40,3.4
Classic Lassi Shop,301,3.457142857142857
Classic Shop,130,3.56
Clean Bowled,10,3.3499999999999996
Clean Eats,0,
Clean Slate Cafe,1638,4.1
Cloud Foods,0,
CloudNYN - Sterling Mac Hotel,2460,4.05
Clove Rooftop,1407,3.7999999999999994
Club Food,0,
Cluckees,0,
Cluxi,60,3.6
Coal Grill & Cafe,48,3.2999999999999994
Coast,294,3.25
Coastal Biryani Paradise,140,3.9
Coastal Creek,117,3.3
Coastal Curry,15,3.5
Coastal Delight,1386,4.1
Coastal Express,144,3.4
Coastal Fish Land,52,3.5
Coastal Hub,1820,4.0
Coastal Inn,264,3.4
Coastal Mama,3736,4.1
Coastal Paradise Family Restaurant,0,
Coastal Spice,339,3.7000000000000006
Cobaja,771,4.281818181818182
Cochin Connection,369,3.5999999999999996
Coco Barista,18,3.7
Coco Grove Beer Cafe,755,3.8
CocoFresh,12,3.2999999999999994
Cocoa 'n' CrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¨me,44,3.5
Cocoa Bakes,42,3.6
Coconadu,183,3.7399999999999998
Coconut Grove,9746,3.690909090909091
Coffee Bike,30,3.7
Coffee Bytes,24,3.1
Coffee Cafe,0,
Coffee House,12,3.3
Coffee Mechanics,1148,4.3
Coffee Mug Cafe,69,3.7000000000000006
Coffee Shopee,0,
Coffee Tea & More,381,4.0
Coffee Thindi,30,3.5
Coffee Time,0,
Coffee Tindi,600,3.8
Coffee@Arens,463,3.7999999999999994
Cold Fusion,0,
Cold Smith Ice Creams,257,3.957142857142857
Cold Station,72,3.8
Cold Stone Creamery,4020,4.055555555555555
Combo Biriyani,23,2.9
Combo Box,110,3.0
Combo King Paramount,36,3.1
Combo Studio,32,3.1
Comboeats,0,
Comesum Food Plaza,0,
Comfert Foods,0,
Communiti,35835,4.644444444444444
Confectionery Chocolates,0,
Connie's Restaurant & SteakHouse,352,4.2
Connie's Restaurant & Steakhouse,7191,4.3
Container Coffee,60,3.4333333333333336
Cookie Man,1591,3.606666666666667
Cooking Mom,738,2.9
Cooking Restaurant,0,
Cool Bites,0,
Cool Break,11,3.4
Cool Corner,770,4.2
Cool Corner Arun Ice Cream,83,3.5
Cool Joint,1792,3.75
Cool Lassi Burger,35,3.1
Cool Palace,0,
Cool Point,35,3.2
Cool Treat Cafe & Cakes,0,
Cool cafe,0,
Coorg Diaries,129,3.5
Coorg Lunch Home,231,3.6
Copacabana Pub,0,
Copper Cafe & Grill,0,
Copper Chimney,625,4.1375
Copper Kitchen,0,
Corner House Ice Cream,34027,4.4653846153846155
Corner Huts,156,3.8
Corner Stone,84,3.6
Corprate Biriyani Adda,20,3.0
Costa Biryanis,32,3.2999999999999994
Costa Coffee,1152,3.511111111111111
Costal Kadai,0,
Cottage Loaf,50,4.0
Countryside - The Taste of Chettinad,1172,3.9
Court Cafe,0,
Covai Cafe,34,3.6
Crack That,24,3.3
Crafted Plate,3353,4.2
Craig Cafe,0,
Cranganore House,11,3.4
Crave,0,
Crave Bit Cafe,0,3.7
Crave Bite,114,3.6
CraveBelly Veg & Non veg,0,
Cravings,278,3.7
Cravingz,81,3.78
Cravisthan,0,
Cravy Wings,4046,4.207142857142857
Crawl Street,48888,4.294736842105263
Crazy Crush - Juices & Desserts Cafe,30,3.466666666666667
Crazy Pizza,20,3.4
Cream & Fudge,99,3.3285714285714287
Cream Chemistry,3674,3.9200000000000004
Cream Factory,246,3.6
Cream House,56,3.0
Cream House Ice Creams,0,
Cream N Desserts,245,3.7
Cream Stone,16772,4.138235294117647
Cream and Bakes,70,3.4333333333333336
Cream and Fudge,59,3.22
Creamiester,0,
Creamiester Ice Creams,0,
Creamvilla,132,3.9
Creamy Zone,8,3.2
Creamyum,380,4.0
Create Cafe,30,3.4
Creme & Cheese,144,3.8
Creme Bliss,168,3.9
Crepe Connection,0,
Crepe Nation,96,3.8
Crescent Avenue - Hotel Bangalore International,328,3.6
Crescent Moon Bakery,0,
Crisp Cafe,291,4.0
Crispy Clouds,0,
Crispy Crust Pizza,90,3.1
Crispy Fried Chicken,45,3.3249999999999997
Croons,260,3.8
Cross Road Cafe,728,3.9
Cross Roads Cafe,354,3.0
Cross Roads Inn,0,
Crown Gold,392,3.9
Crown Resto,0,
Crumb Together,7644,4.1
Crumbz Crunches,88,3.1
Crunch Pizzas,6061,2.672972972972973
Crunch Pizzas - Express Delivery,949,3.0
Crunch and Munch,23,3.7
Crunchees Cafeteria,44,3.4
Crunchie Corner,222,4.0
Crunchy Nights,203,3.685714285714286
Crusty Bakers,0,
Crystal Grandeur,0,
Cubbon Pavilion - ITC Gardenia,6174,4.3
Cubbonpete Donne Biryani,92,3.9
Cucumber Town,2472,4.2
Cueferia A-Cafe,0,
Cultch Resto Cafe,186,3.7
Cup Chronicles Cafe,320,3.9
Cup Shup,1110,2.7999999999999994
Cupcake Bliss,154,3.4869565217391307
Cupcake Couture,80,3.8
Cupcake Noggins,5988,4.038461538461538
Cupp,0,
Cuppa,998,3.3421052631578947
Cuppa Joy,0,
Curries & Chillies,170,3.1
Curries & Pickles,35,3.4
Curries 'N' Phulkas,6,3.4
Curries And Pickles,493,3.433333333333333
Curries and Pickles,0,
Curries'N' Fries,22,3.7
Curry Box,0,
Curry Chatty Paradise,0,
Curry Chutney,20,3.0
Curry Flavours,240,3.6500000000000004
Curry Leaves,2969,3.907142857142857
Curry Point,14,3.2
Curry Pot,22,3.4
Curry with a 'K' - St. Mark's Hotel,896,3.9
Currylicious,312,3.1999999999999997
Curryvape Restaurant,0,
Cutcakes,0,
CutePorkie,16,3.3
Cutlet Shop,9,3.2
D Fusion,27,3.5
D Italy,0,
D View Cafe,6113,4.0
D'7 Feast Resto Cafe,294,4.1
D'Brooks,49,3.46
D'Cafe,102,3.7999999999999994
D-Ra's Delicacy,0,
D-Zaprino,474,3.9
D2V Cafe,117,3.5999999999999996
DG Juice Club,0,
DIET Cravers,0,
DS Juice CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© & Grill,134,3.2
DVG Benne Dosa,165,4.066666666666666
DW Dabbawala,0,
Daafoodies,4,3.2
Daal Roti,70,2.9
Daawat Restaurant Bar & Pub,171,3.5
Daba Delights,63,3.3
Dabba Delight's,0,
Dabba Gosht,159,3.408333333333333
Dabba Karkhana,136,3.5
Dad's Coffee Club,0,
Dad's Cookhouse,202,4.1
Dadaba's,18,3.3
Dadi's Dum Biryani,38407,4.076470588235294
Daily & Divine,0,
Daily Bite,196,3.5
Daily Bread,1303,2.9642857142857144
Daily Special,0,
Daily Sushi,290,3.6999999999999997
Dairy Day Corner,0,
Daivik,6,3.3
Dakshin,188,3.5
Dakshin - ITC Windsor,202,4.3
Dakshin Biryani & Tiffin,2338,3.4
Dakshin Cafe,467,3.94
Dakshin Family Resturant,0,
Dakshin Flavors,412,3.05
Dakshin Food Palace,213,3.7
Dakshin Grand,410,3.0
Dakshin Kitchen,76,3.6
Dakshin Restaurant,198,3.6
Dakshin Sagar,650,3.1
Dakshin Spice,1152,3.7999999999999994
Dal Chawal Roti,40,3.3
Dal Roti,819,3.7
Dal Roti Sabji,248,4.1
Dal Tadkaa,741,2.5
Dalchini,458,4.0
Dallas Hot & Cold,0,
Dalma,4750,3.9
Dambal's Veg,11,3.2
Damodar Seth,614,3.1500000000000004
Danapani,118,3.8
Dande Hyderabad Biryani,6,3.4
Dande's Hyderabad Biryani,1549,3.5714285714285716
Daniyal's,934,3.2933333333333334
Danny Lambas Punjabi Dhaba,588,3.5
Darbar,882,3.0
Darjeeling Hot Momos,0,
Darjeeling Momo Adda,324,3.1
Darjeeling Momos & Fast Food Center,74,3.8
Darkolates,0,
Darshan Paradise Restaurant,155,3.6
Daryaganj Chowk,26,3.1
Dasaprakash Cafe,120,3.158333333333333
Dash In,636,3.1
Dashabhuja Kitchen & Catering,12,3.0
Dastarkhan,0,
Davanagere Bene Dosa Hotel,8,3.3
Davanagere Benne Dosa,4,3.3
Davanagere Benne Dosa Hotel,19,3.1
Davanagere Benne Dose,742,3.9
Davanagere Benne Dose Hut,50,3.4
Davanagere Butter Dosa Hotel,43,3.7
Davangere Benna Dose Hotel,452,4.1
Davangere Butter Dosa Hotel,50,3.8
David's Kitchen,164,3.5833333333333335
Davis Bar And Restaurant,187,3.0
Dawat,171,3.5
Dawat E Biryani,0,
Dawat Midnight Express,59,3.1
Dawn Cafe,0,
Day N Night Kitchen,105,3.2000000000000006
Dazu Momoz,8,3.1
De Grand,70,3.3
De Grand Restaurant,782,3.8333333333333335
De Oxford Cafe,204,3.7000000000000006
De Purple Cafe,0,
De Street Cafe,854,3.6
De Thaali,866,3.9
De3 - The Eatery,52,3.1
DeCafe,0,
Debby's Kitchen,80,3.6
Deccan House,1227,4.0
Deccan Kitchen,93,3.6333333333333333
Deccan Spice,280,3.466666666666667
Deccan Spices,331,3.7
Decker's Lane,970,2.1
Deejas Kitchen,219,3.9
Deepak Fast Food,4,3.3
Deepak Paratha Plaza,36,3.5
Deepam Tiffins,0,
Degchi Restaurant,206,3.7
Dehati Murgee,461,4.0
Deja Vu Resto Bar,44931,4.4
Delhi 6,0,
Delhi 6 Chaats,0,
Delhi Base Sri Food Court,1010,3.9
Delhi Belli,4,3.3
Delhi Bhavan,132,3.3499999999999996
Delhi Biryani Cafe,70,3.4714285714285715
Delhi Delight Food Cafe,56,3.1
Delhi Fast Food,0,
Delhi Food Factory,0,
Delhi Food Point,9107,3.3
Delhi Highway,16729,4.44
Delhi Home Food,41,3.3
Delhi Ke Bawarchi,176,4.0
Delhi Kitchen,287,2.9
Delhi Mahal,228,3.1
Delhi Mess,998,4.1
Delhi Pizza House,4,3.2
Delhi Restaurant,857,3.725
Delhi Special Fast Food,0,
Delhi Spice: Home Delivery,0,
Delhi Sweets,20,3.1
Delhi To Hotel,0,
Delhi Walle,2247,3.8000000000000003
Delhi's Essence,60,3.6
Delhiciouss,96,3.7
Delhite Food,36,3.46
Delhiz Taste,26,3.5
Deli Chats & Sweets,0,
Deli Chats and Sweets,139,4.1
Deli Counter - Gateway Hotel,30,3.5
DeliBox.in,536,3.7
DeliToons,504,4.0
Delicacy,10847,3.930434782608695
Delicate Bites,0,
Delice - Novotel,198,3.7999999999999994
Delices,66,3.1
Delicious Cakes,27,3.1
Delicious Demons,156,3.2999999999999994
Delicious Desserts,20,3.5
Delicious Ice Cream Parlour,12,3.2
Delicious Mom's Kitchen,0,
Delicious Momos,635,4.0
Delicious Night,0,
Delicious Treat,0,
Delifusion - Hunger Sorted,12,3.3
Delight Fast Food & Restaurant,72,2.8
Delight Food,1736,2.63
Delight Foods,0,
Delight food,16,3.1
Delightz,320,4.0
Delish Chinese Fast Food,32,3.2
Delish Mom Food,0,
Delish Multi Cuisine Andhra Style Restaurant,0,
Delisias,0,
Delite Chaat House,7859,3.79
Delitz Creamvilla Cafe,373,3.9799999999999995
Delly Belly,20,3.2
Deshi Fusion Pizza,368,3.3
Desi Aahar,0,3.3
Desi Adda,88,3.3
Desi Bites,650,3.48125
Desi Breakk,79,3.4200000000000004
Desi Bytes,643,3.0714285714285716
Desi Chai,0,
Desi Chatkara,0,
Desi Chats,18,3.9
Desi Chinese,74,3.6
Desi Chinese kitchen,51,3.95
Desi Chopstick,222,3.7999999999999994
Desi Chulha,76,3.7
Desi Cream Junction,252,3.7
Desi Curry,0,
Desi Dawat,496,3.7
Desi Deck,1337,3.9
Desi Dhaba,883,3.5
Desi Doze,588,3.8
Desi Feast,0,
Desi Flavours,1089,3.9000000000000004
Desi Foodizzz,112,3.7
Desi Grill,120,3.0
Desi Inn,143,3.5
Desi Jalpaan,0,
Desi Khana,747,3.3600000000000003
Desi Qulfi,0,
Desi Rasoi,3622,3.8
Desi Spicey,0,
Desi Streat,0,
Desi Swaad,21,3.5
Desi Tadka,32,3.0
Desi Tadka Khana,0,
Desi Urbane,216,3.6
Desi Vdesi,2374,3.8541666666666665
Desi Vibes,528,3.576923076923077
Desi Wok,304,2.7
Desi Zaika,68,2.8
Desipun,3804,4.2
Despiwich Dragon's Kitchen,285,3.875
Dessert Bar,0,
Dessert Rose,14,3.5
Desserts Tree,865,3.8
Dessi Cuppa,137,3.5
Detox Kitchen,27,3.1
Dev Sagar - Food Street,1186,4.1
Dev's Gugababa,1947,3.463636363636364
Devanna Dum Biriyani Centre,56,3.6
Devanshi Foods,0,
Devi's Cakes N Bakes,62,3.6
Dezzertz,0,
Dhaba - Estd 1986 Delhi,11770,4.4
Dhaba Bytes,1061,4.0874999999999995
Dhaba Central,10,3.3
Dhaba Estd 1986 Delhi,4999,4.35
Dhaba Express,1397,3.7
Dhaba Shaba,305,3.28
Dhaba Social,1870,4.0
Dhabeliwala,176,3.8
Dhadoom,324,3.9
Dhana Lakshmi Family Restaurant,0,
Dhanalakshmi Grand,215,4.0
Dhanbad Food Stall,0,
Dhang Ka Khana,136,3.7
Dhanlaxmi Sweets & Chats,0,
Dhanya Nati Style Restaurant,74,3.1
Dharani Andhra Style Hotel,0,
Dharani Foods,52,3.7
Dharwad Line Bazaar Mishra Pedha,0,
Dharwad Line Bazar Mishra Pedha,32,3.4
Dhe Chef Cafe,0,
Dhruva's Munch & Sip,0,
Dhuaan,1348,4.2
Dhyaana,617,4.35
Diabetics Dezire Sugarless Sweets and Bakes,65,3.3
Dial For Cake,0,
Dialogues,2902,4.072727272727272
Diana Fast Food Center,0,
Dice N Dine,28895,4.3
Didi's Kitchen,16,3.1
Dil Face Food,0,
Dil Punjabi,634,2.6
Dil Se Dilli,845,3.7999999999999994
Dil Se Punjabi,106,3.0
Diletto,16,3.5
Dilish Kitchens,171,3.7000000000000006
Dilli 6,52,3.2
Dilli ??,0,
Dilli Darbar,1107,3.45
Dilli Dil Se,80,3.6
Dilli Dil Se..,103,3.8
Dilli Galli,86,3.6
Dilli Highway,50,3.0
Dilli Tadka,0,
Dilli in a Box,42,3.7000000000000006
Dilli6 Paratha,4,3.0
DilliBite,297,3.5
Dindigul Thalappakatti,1306,4.2
Dindigul Time Pass Restaurant,805,3.2
Dine @ 9 Paratha Corner,132,3.6
Dine Garden Family Restaurant,121,3.5
Dine In,80,3.56
Dine One One Restaurant,30,3.6
Dine With Singhs,0,
Dine in Restaurant,70,3.4
DinePost9,5291,3.8666666666666667
Dinemaster Gogo's,11,3.4
Dinepost 9,22,3.6
Dining Hut,20,3.5
Dipd N Chocolate,0,
Disha's Cake Boutique,0,
District 6 Pub Brewery & Kitchen,9282,4.3
Dive,1518,4.3
Divina - Eden Park Restaurants,882,4.0
Diya's Findish,18,3.2999999999999994
Django,1719,4.0
Dock Frost'd,231,4.6
Doctor Juice,84,3.9
Dodda Mane Baaduta,30,3.5
Dodda Mane Donne Biryani,80,3.1500000000000004
Doddamma Devi Juice & Chats Centre,0,
Doff Pub and Lounge,2682,4.1
Dolci Desserts,16391,4.3
Dollars Park Residency,0,
Dolphin Bar,183,3.7999999999999994
Domino's Pizza,18166,3.5610169491525423
Domlur Cafe,0,
Doner Bel,196,3.516666666666667
Donne Biriyani Angadi Mane,1717,3.711111111111111
Donne Biriyani House,11573,3.635135135135135
Donne Biriyani Mane,3749,3.492307692307692
Donne Biriyani combos,0,
Donne Biryani,42,3.2
Donne Biryani & Egg Rice Adda,8,3.3
Donne Biryani & Kabab Corner,60,3.3
Donne Biryani Angadi Mane,16,3.1
Donne Biryani Hatti,278,3.6
Donne Biryani House,1180,3.46
Donne Biryani Kuteera,895,3.733333333333333
Donne Biryani Mane,301,3.3411764705882354
Donut Cafe,326,3.9
Doof,742,4.0
Dosa Bazaar,563,3.96
Dosa Cafe,7,3.4
Dosa Corner,0,
Dosa Deep,0,
Dosa Mania,0,
Dosa Plaza,1542,3.8
Dosa Time,326,3.7999999999999994
Dosalicious,63,3.3
Dose Mane,0,
Dose Manjanna,0,
Dot.yum - Aloft Hotel,276,3.9
Double Blend,66,3.6
Double Decker,43124,4.3
Downtown,3845,3.7
Dr. Bubbles,669,4.2
Dr. Harry's Chick Blast,52,3.5
Dr. Shawarma,16,3.5
Dr. Sheesha,8699,4.116666666666666
Draggers CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,277,4.0
Draggers CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,1370,4.1
Dragon Box,24,3.0
Dragon's Kitchen,992,3.1
Drava,1142,4.36
Dream Coffee House,12,3.2
Dream Scoopers,32,3.4
Dream a Dozen,533,4.3
Dream's Kitchen,14,3.1
Dreamcatcher,346,3.9
Dreamland Food Corner,42,3.7
Dreams Cafe - All Day English Food St.,2994,3.8
Dribzz Bakes & Cafe,0,
Driven Cafe,1961,3.475
Drunken Monkey,4279,3.8549999999999995
Drunkling - Sizzlers and Pub,5545,4.4
Dry Dock Cafe,50,3.6
Dtink Lab,0,
Dublin - ITC Windsor,374,4.1
Dum & Oven,232,3.7
Dum Biryani Hub,722,3.9
Dum Pukht Jolly Nabobs - ITC Windsor,291,4.3
Dunkin' Donuts,19836,4.024
Durbar Greens Family Restaurant,110,3.6
Durbari Restaurant,16,3.2
Durga Bikaner Sweets,30,3.7
Durga Maata Hotel,0,
Durga Mess,66,3.6
Durga Sagar,101,3.358333333333333
Dwaraka Grand,512,3.9
Dwaraka Krishna,2298,3.7
Dyu Art Cafe,57631,4.5
E - City Combos,6,3.5
E Foods Regalia,22,3.1
E2 - EntrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©e Envoy,52,3.5
EC Dine Restaurant,46,3.4
ECHOES Koramangala,16063,4.7
Eagle Bar & Restaurant,28,3.1500000000000004
Eagle Ridge,16,3.2
Eagles Pizza,284,3.76
Earth Plate Express,297,3.9000000000000004
Earthen Bowl,180,3.9
East Cafe Corner,0,
East Delicious,1996,4.0
East- The Oterra,54,4.0
Easy Bites,734,4.0
Easy Tiger,29444,4.3
Eat & Drink,44,3.5
Eat & Joy Restaurant,42,3.0666666666666664
Eat And Be Fit,0,
Eat At Nite,627,3.2333333333333334
Eat Eroo - Bombay Vada Pav,629,3.675
Eat Eroo - South China,370,3.8
Eat Eroo Bombay Vada Pav & Chats,0,
Eat Food,0,
Eat N Drink,934,3.7999999999999994
Eat N Drinks,23,3.4
Eat N Meet,317,2.7
Eat N Pack,12,3.3
Eat Repeat,508,3.9
Eat Repeat Express,184,3.2916666666666665
Eat Sleep Eat Repeat,176,3.5
Eat Social,0,
Eat Street,18401,4.2
Eat Well,810,3.223809523809524
Eat up's Cloud Kitchen,0,
EatPrayLove,0,
EatWater,1815,4.2
Eatapita,644,4.0
Eatato Snack Bar,132,3.2999999999999994
Eater's Cart,32,3.5
Eaternet,48,3.6
Eatery,0,
Eatery 19/5,0,
Eatery Have U Been,352,3.4
Eating Love,927,4.3
Eatsaa,16,3.5
Eatsomnia,3473,3.4875
Eatsy,12,3.5
Eatwell Restaurant,304,3.0
Eatzgreen,180,3.7999999999999994
Ebony,47135,4.3
Eddy's Cafe,837,4.1
Eden Huts Dhaba,66,3.6
Eden Huts Restaurant,872,4.0
Eden Park,7481,4.1
Edigo,0,
Edo Restaurant & Bar - ITC Gardenia,1175,4.3
Egg D,0,
Egg House,70,2.9
Egg Star,38,3.6
EggFactor - Street House,184,4.133333333333333
Eggstacy,699,4.0
Eggzotic,1564,3.95
El Salver,814,3.9
Elaichi,0,
Elaz Rannaghor,0,
Elegant Dining,450,3.6
Elements - Mapple Express,255,2.9
Elements Eatery,1216,4.0
Ella,0,
Ella's Petscape Cafe,57,4.0
Elmas Restaurant,374,3.4181818181818184
Elongo's,96,3.9
Ember The Calabash,2679,4.1
Embers - Nandhana Grand Hotel,380,3.8
Emerald Green,0,
Empark Inn Restaurant,114,3.7000000000000006
Empire Juice Shop,85,2.75
Empire Restaurant,229808,4.030434782608696
Enchanted Garden,2856,4.314285714285714
Encyclofoodia,52,3.9
Energy Addaa,397,4.2
Enerjuvate Studio & Cafe,10947,4.340000000000001
Engine,144,3.3
English Channel,96,3.75
Enroute,61,3.3666666666666667
Ente Keralam,14305,4.0
Entree cafe,224,3.7
Entropy Cafe,6077,4.1
Envy,18,3.4
Epic Biryani,0,
Equinox Bar - DoubleTree Suites By Hilton,312,3.9
Erivum Puliyum,282,3.9
Esfahan Restaurant,296,3.5
Eshanya,9719,4.1
Eshmeet Da Dhaba,1085,3.1
Esplanade,1563,4.3
Essential Kitchen,12,3.2999999999999994
Estaa Sweets,34,3.3499999999999996
Estia - Aloft Hotel,79,4.1
Eten,64,3.8
Euki,4424,4.0874999999999995
Eunoia,119,3.8166666666666664
Eurasia Pasta and Barbeque by Little Italy,6382,4.083333333333333
Evo,0,
Excelsior Bakery,90,3.6
Express Food Delivery,266,2.8
Express Food Point,0,
Expresso Restaurant,10,3.5
F Juice,0,
F M Biryani Plaza,0,
F.M Biryani Paradise,0,
F3 Food Fun Fiesta,31,3.3
F5,8,3.2
FAB Cafe,7,3.1
FIFA Cafe,16,3.2
FM Biryani Plaza,0,
FNC Seafood,173,3.65
FNP Cakes N More,0,
FOOD ADDA,8,3.2
FRYBIES,150,3.3
FTB Restaurant,19,3.6
Faasos,14214,3.930357142857143
Fabcafe,1141,4.034782608695652
Fabelle Chocolate Boutique - ITC Gardenia,1173,4.5
Fabelle Chocolate Boutique - ITC Windsor,59,4.2
Fabindia Cafe,2020,4.2
Facebake,370,3.8714285714285714
Fahad Hotel,12,3.3
Fahad Kabab Centre,0,
Fai Dang,126,3.5
Falafal,16,3.3
Falafel Bistro,24,3.4
Falafel's - The Lebanese Haus,359,3.185714285714286
Falahaar,1232,3.9
Falooda Cafe,22,3.6
Familiar Food Court,43,2.6
Families Food Court,522,3.9
Famous Bawarchi,0,
Famous Dum Biriyani,12,3.1
Famous Kabab Center,0,
Fandom at Gilly's Redefined,1387,3.869230769230769
Fanoos,264,3.9
Fanoos Xprss,484,3.7000000000000006
Farha Real Taste Of Kerala,12,3.1
Farida's Kitchen,0,
Farzi Cafe,21721,4.4
Fashion Knack Cafe,126,3.7
Fast And Fresh,182,2.8
Fast N Food,0,
Fat Buddha,4108,4.0
Fat Chef Biryani Wale,28,3.3
Fatima Bakery,140,3.7
Fatso's,1319,3.7999999999999994
Fattoush,20744,4.171428571428572
Fatty Chang,16,3.2
Fava,36857,4.4
Fava Bistro,5407,4.4
Favourite Restaurant,0,
Fazzito Kitchen,840,3.8
Feast - Sheraton Grand Bangalore Hotel at Brigade...,3833,4.3
Feast - Sheraton Grand Bengaluru Whitefield Hotel &...,523,4.5
Feast India Co.,1216,4.2
Feast and Burp,20,3.3
Feastaurant,111,3.7
Feaster,264,3.7999999999999994
Feel The Taste,0,
Feel@Home,126,3.6
Fella Juice Bar,0,
Fenny's Lounge And Kitchen,89183,4.521428571428571
Ferment,0,
Fetchpod Cafe,180,2.9
Fete Home Kitchen,0,
Fiddler's Green,297,3.9
Fiero! Pizzeria,559,4.0
Fill A Belly Restaurant,66,3.6
Fill N Chill Resto Bar & Pub,8972,3.9
Fillers,1669,3.9
Filmy Kitchen,910,3.7
Fine Day,20,3.1
Fine Dine Restaurant,112,3.7
Fine Food Court,0,
Fine Food Restaurant,26,3.4
Firangi Bake,1990,4.006666666666666
Fire & Slice,0,
Fire And Ice,38,3.7
Fire Station,3235,4.4
FireHouse - Bar & Kitchen,4521,3.9
Firewood Biryani,4557,3.9
Firki Cafe,0,
Fish & Fries Restaurant,1297,4.0
Fish And Dish,68,3.6666666666666665
Fish Chain,796,3.829411764705882
Fish Corner,236,3.7
Fish Factory-Citrus Hotel,235,3.9
Fish N Spice,0,
Fish Palace,112,3.0
Fishing Boat,178,4.0
Fishing Boat - Hotel Goyal Residency,1254,3.9
Fishland,302,4.2
Fishland 15,56,3.9
Fishland Deluxe,36,3.5
Fit Dish Fetish,38,3.5
Fitbakes,78,3.6
Fitnest,96,3.2000000000000006
Five Satr Chiken,0,
Five Senses,0,
Five Spice Dining,167,3.6
Five Star Cafe,58,3.8
Five Star Chicken,3134,3.4250000000000003
Five Star New Ambur Biryani,0,
FixMyNutrition,0,
Flame Pub & Restaurant - Brigade Garden,288,2.9
Flamin Grill,40,3.5
Flavor of Tibet,286,4.0
Flavored With Love,0,
Flavors,5,3.4
Flavors Restaurant,80,2.9
Flavors of India,444,3.62
Flavors of North,719,3.2999999999999994
Flavorsome Bakes,373,4.0
Flavour A Azam,84,3.5
Flavour of China,2794,3.8
Flavour of Himalaya,264,3.7
Flavours - Octave Hotel & Spa,1182,3.0
Flavours Hut,42,3.54
Flavours Inn,118,3.7
