location,cuisines,approx_cost(for two people)
Banashankari,"Chinese, Continental, Italian, North Indian",700.0
Banashankari,"Chinese, Momos, Thai, Vietnamese",900.0
Banashankari,"Chinese, North Indian",945.0
Banashankari,"Chinese, North Indian, Thai",800.0
Banashankari,"Chinese, Thai",850.0
Banashankari,"Chinese, Thai, Momos",600.0
Banashankari,Continental,625.0
Banashankari,"Continental, Asian",800.0
Banashankari,"Continental, Asian, North Indian, Tea",500.0
Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0
Banashankari,Desserts,300.0
Banashankari,"Desserts, Beverages",400.0
Banashankari,"Desserts, Beverages, Ice Cream",400.0
Banashankari,"Desserts, Fast Food, Continental",300.0
Banashankari,"Desserts, Ice Cream",412.5
Banashankari,Fast Food,238.88888888888889
Banashankari,"Fast Food, Bakery",250.0
Banashankari,"Fast Food, Beverages",500.0
Banashankari,"Fast Food, Burger",350.0
Banashankari,"Fast Food, Chinese",200.0
Banashankari,"Fast Food, Desserts, Ice Cream",400.0
Banashankari,"Fast Food, Finger Food",500.0
Banashankari,"Fast Food, Italian, Beverages",500.0
Banashankari,"Fast Food, Pizza",150.0
Banashankari,"Fast Food, Rolls",250.0
Banashankari,"Fast Food, Rolls, Momos",300.0
Banashankari,"Fast Food, South Indian",100.0
Banashankari,"Fast Food, Street Food",300.0
Banashankari,Finger Food,1300.0
Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0
Banashankari,"Healthy Food, Juices, Sandwich",350.0
Banashankari,"Hyderabadi, Biryani",300.0
Banashankari,"Hyderabadi, Biryani, South Indian, Andhra, Beverages",300.0
Banashankari,Ice Cream,200.0
Banashankari,"Ice Cream, Desserts",237.5
Banashankari,"Ice Cream, Desserts, Beverages, Sandwich",400.0
Banashankari,"Ice Cream, Desserts, Juices",150.0
Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",450.0
Banashankari,"Italian, Fast Food, Cafe, European",600.0
Banashankari,"Italian, North Indian, Biryani",500.0
Banashankari,"Italian, North Indian, Mexican",800.0
Banashankari,"Italian, Pizza",400.0
Banashankari,"Juices, Desserts",150.0
Banashankari,"Juices, Street Food",150.0
Banashankari,Kebab,200.0
Banashankari,"Mangalorean, Chinese",300.0
Banashankari,"Mangalorean, Seafood",350.0
Banashankari,"Mangalorean, Seafood, North Indian",600.0
Banashankari,"Mangalorean, South Indian, North Indian",260.0
Banashankari,"Mexican, Italian",600.0
Banashankari,Mithai,206.25
Banashankari,"Mithai, Street Food",276.47058823529414
Banashankari,"Mughlai, North Indian, Chinese",500.0
Banashankari,North Indian,290.27777777777777
Banashankari,"North Indian, Biryani, Fast Food",500.0
Banashankari,"North Indian, Chinese",588.5245901639345
Banashankari,"North Indian, Chinese, Beverages",600.0
Banashankari,"North Indian, Chinese, Biryani, Kebab",450.0
Banashankari,"North Indian, Chinese, Continental",800.0
Banashankari,"North Indian, Chinese, Fast Food",400.0
Banashankari,"North Indian, Continental, Italian",400.0
Banashankari,"North Indian, Fast Food, Chinese, Burger",500.0
Banashankari,"North Indian, Fast Food, Rolls",250.0
Banashankari,"North Indian, Iranian",950.0
Banashankari,"North Indian, Mughlai, Chinese",727.2727272727273
Banashankari,"North Indian, Mughlai, Fast Food",500.0
Banashankari,"North Indian, South Indian",312.5
Banashankari,"North Indian, South Indian, Chinese, Biryani",250.0
Banashankari,"North Indian, South Indian, Chinese, Biryani, Seafood",400.0
Banashankari,"North Indian, South Indian, Chinese, Fast Food, Juices",750.0
Banashankari,"North Indian, South Indian, Fast Food, Chinese, Italian",400.0
Banashankari,"North Indian, Street Food",200.0
Banashankari,Pizza,712.5
Banashankari,"Pizza, Cafe, Italian",600.0
Banashankari,"Pizza, Fast Food",658.3333333333334
Banashankari,"Pizza, Italian",600.0
Banashankari,"Pizza, Italian, Continental, Desserts",800.0
Banashankari,"Pizza, Italian, Salad",800.0
Banashankari,"Pizza, Sandwich, Burger, Fast Food",150.0
Banashankari,"Roast Chicken, Burger",300.0
Banashankari,"Rolls, Lebanese",250.0
Banashankari,"Rolls, North Indian",150.0
Banashankari,"Salad, Fast Food",600.0
Banashankari,"Sandwich, Beverages",200.0
Banashankari,"Sandwich, Pizza, Beverages",200.0
Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1200.0
Banashankari,South Indian,201.74418604651163
Banashankari,"South Indian, Bakery, Chinese",250.0
Banashankari,"South Indian, Beverages",150.0
Banashankari,"South Indian, Biryani",262.5
Banashankari,"South Indian, Chinese",175.0
Banashankari,"South Indian, Chinese, North Indian",350.0
Banashankari,"South Indian, Chinese, North Indian, Juices",300.0
Banashankari,"South Indian, Fast Food",185.71428571428572
Banashankari,"South Indian, North Indian",364.2857142857143
Banashankari,"South Indian, North Indian, Chinese",407.89473684210526
Banashankari,"South Indian, North Indian, Chinese, Biryani",380.0
Banashankari,"South Indian, North Indian, Chinese, Street Food",256.25
Banashankari,"South Indian, North Indian, Continental",400.0
Banashankari,"South Indian, North Indian, Fast Food, Chinese, Street Food",500.0
Banashankari,"South Indian, North Indian, Seafood, Mangalorean",400.0
Banashankari,"South Indian, Street Food",210.0
Banashankari,Street Food,128.57142857142858
Banashankari,"Street Food, Fast Food",260.0
Banashankari,"Street Food, Rolls",200.0
Banashankari,"Tea, Beverages",200.0
Banashankari,"Tibetan, Momos",250.0
Banashankari,Vietnamese,700.0
Banaswadi,Andhra,200.0
Banaswadi,"Andhra, Biryani, Chinese",300.0
Banaswadi,"Andhra, Biryani, Chinese, North Indian",300.0
Banaswadi,"Andhra, Chinese, North Indian",600.0
Banaswadi,"Andhra, North Indian, Biryani, Beverages",600.0
Banaswadi,"Andhra, North Indian, Chinese, Seafood",500.0
Banaswadi,"Andhra, South Indian, Biryani",350.0
Banaswadi,"Andhra, South Indian, Chinese, North Indian",800.0
Banaswadi,"Andhra, South Indian, North Indian",450.0
Banaswadi,Arabian,300.0
Banaswadi,"Arabian, Kerala, North Indian, Chinese, Beverages",700.0
Banaswadi,"Arabian, Mughlai",350.0
Banaswadi,"Arabian, Mughlai, Chinese, Kebab, Fast Food",400.0
Banaswadi,"Arabian, North Indian, Biryani, Kebab",400.0
Banaswadi,"Asian, North Indian",400.0
Banaswadi,Bakery,275.0
Banaswadi,"Bakery, Desserts",364.2857142857143
Banaswadi,"Bakery, Desserts, Fast Food",500.0
Banaswadi,"Bakery, Fast Food",500.0
Banaswadi,Beverages,100.0
Banaswadi,"Beverages, Desserts",150.0
Banaswadi,"Beverages, Fast Food, Italian",400.0
Banaswadi,"Beverages, Healthy Food",150.0
Banaswadi,"Beverages, Ice Cream",200.0
Banaswadi,Biryani,218.1818181818182
Banaswadi,"Biryani, Andhra",300.0
Banaswadi,"Biryani, Chinese",250.0
Banaswadi,"Biryani, Chinese, Kebab",300.0
Banaswadi,"Biryani, Fast Food",200.0
Banaswadi,"Biryani, Kebab",250.0
Banaswadi,"Biryani, North Indian",200.0
Banaswadi,"Biryani, North Indian, Chinese",600.0
Banaswadi,"Burger, Fast Food, Beverages",250.0
Banaswadi,Cafe,370.0
Banaswadi,"Cafe, Bakery",500.0
Banaswadi,"Cafe, Continental",400.0
Banaswadi,"Cafe, Continental, Beverages",500.0
Banaswadi,"Cafe, Continental, Chinese, Momos",500.0
Banaswadi,"Cafe, Fast Food",510.0
Banaswadi,Chinese,440.90909090909093
Banaswadi,"Chinese, Beverages",300.0
Banaswadi,"Chinese, Continental, North Indian",750.0
Banaswadi,"Chinese, Fast Food",250.0
Banaswadi,"Chinese, Fast Food, Beverages",400.0
Banaswadi,"Chinese, Fast Food, Seafood, Momos",400.0
Banaswadi,"Chinese, Italian",300.0
Banaswadi,"Chinese, Momos",560.0
Banaswadi,"Chinese, North Indian",483.3333333333333
Banaswadi,"Chinese, North Indian, Biryani",300.0
Banaswadi,"Chinese, North Indian, Fast Food",475.0
Banaswadi,"Chinese, North Indian, Hyderabadi, Biryani",500.0
Banaswadi,"Chinese, North Indian, Mexican, Fast Food",400.0
Banaswadi,"Chinese, North Indian, South Indian",450.0
Banaswadi,"Chinese, Seafood",400.0
Banaswadi,"Chinese, Thai, Momos, Vietnamese",900.0
Banaswadi,"Chinese, Thai, Nepalese, Tibetan",350.0
Banaswadi,"Chinese, Thai, Seafood",600.0
Banaswadi,"Continental, Chinese",550.0
Banaswadi,"Continental, Chinese, Fast Food",600.0
Banaswadi,"Continental, Finger Food",1300.0
Banaswadi,Desserts,200.0
Banaswadi,"Desserts, Bakery",500.0
Banaswadi,"Desserts, Beverages",300.0
Banaswadi,"Desserts, Ice Cream",150.0
Banaswadi,Drinks Only,100.0
Banaswadi,Fast Food,226.1904761904762
Banaswadi,"Fast Food, Beverages",300.0
Banaswadi,"Fast Food, Burger",500.0
Banaswadi,"Fast Food, Burger, North Indian, South Indian",200.0
